,C,coef0,decision_function_shape,gamma,kernel,Accuracy
441,2.0,3.0,ovr,0.001,linear,0.7686932215234101
442,2.0,3.0,ovo,3.0,linear,0.7686932215234101
443,2.0,3.0,ovo,0.001,linear,0.7686932215234101
444,2.0,0.0,ovr,3.0,linear,0.7686932215234101
445,2.0,0.0,ovo,0.01,linear,0.7686932215234101
446,2.0,3.0,ovr,3.0,linear,0.7686932215234101
447,2.0,0.0,ovo,3.0,linear,0.7686932215234101
448,2.0,3.0,ovo,0.5,linear,0.7686932215234101
449,2.0,1.0,ovo,0.001,linear,0.7686932215234101
450,2.0,1.0,ovo,0.01,linear,0.7686932215234101
451,2.0,3.0,ovo,0.1,linear,0.7686932215234101
452,2.0,3.0,ovo,0.01,linear,0.7686932215234101
453,2.0,1.0,ovr,0.5,linear,0.7686932215234101
454,7.0,3.0,ovr,0.01,poly,0.7686495457721874
455,7.0,0.0,ovr,0.01,sigmoid,0.7686495457721874
